Automaten und formale Sprachen (schriftlich),Automaten und formale Sprachen (schriftlich),Static and Stationary Fields,Elektrische Energieversorgungssysteme,Messtechnik,Thermodynamics 1,Thermodynamics 1,Betonbau 3 - Grundlagen des Spannbetonbaus und des Ingenieurbaus
Measurement Technology,Measurement Technology,Rechnernetze und Kommunikationssysteme,Fundamentals of Programming,Computer Based Engineering Mathematics,Fundamentals of Computer Engineering 1,Fundamentals of Computer Engineering 1,Physics
Multimedia Systeme,Multimedia Systeme,Measurement Technology,Thermodynamics 1,Energietechnik,Numerische Methoden für Ingenieure,Numerische Methoden für Ingenieure,Siedlungswasserwirtschaft 1 / Chemie
Fundamentals of Programming,Fundamentals of Programming,Multimedia Systeme,Fundamentals of Computer Engineering 1,Fundamentals of Programming,Werkstoffauswahl verschleiß- und korrosionsbeständiger Werkstoffe,Werkstoffauswahl verschleiß- und korrosionsbeständiger Werkstoffe,Wissenschaftliches Arbeiten
Mensch-Computer Interaktion,Mensch-Computer Interaktion,Fundamentals of Programming,Elektronische Bauelemente,Thermodynamics 1,Werkstoffprüfung,Werkstoffprüfung,E2 Berechnungsprogramme
Fortgeschrittene Programmiertechniken,Fortgeschrittene Programmiertechniken,Mensch-Computer Interaktion,Grundlagen elektronischer Schaltungen,Fundamentals of Computer Engineering 1,Theoretische Metallurgie (alt: Metallurgie),Theoretische Metallurgie (alt: Metallurgie),E2 Bauinformatik 2
Fundamentals of Computer Engineering 1,Fundamentals of Computer Engineering 1,Fortgeschrittene Programmiertechniken,Programmierparadigmen,Numerische Methoden für Ingenieure,Betriebswirtschaft für Ingenieure,Betriebswirtschaft für Ingenieure,
Betriebssysteme,Betriebssysteme,Fundamentals of Computer Engineering 1,Betriebswirtschaft für Ingenieure,Modellbildung und Simulation,Thermodynamics 2,Thermodynamics 2,
Grundlagen elektronischer Schaltungen,Grundlagen elektronischer Schaltungen,Grundlagen der Elektronik,Thermodynamics 2,Betriebswirtschaft für Ingenieure,Physics,Physics,
Modellierung,Modellierung,Operating Systems and Computer Networks,Physics,Thermodynamics 2,Werkstofftechnik 1,Werkstofftechnik 1,
Modellbildung und Simulation,Modellbildung und Simulation,Grundlagen elektronischer Schaltungen,Logical Design of Digital Systems,Physics,Werkstofftechnik 2,Werkstofftechnik 2,
Programmierparadigmen,Programmierparadigmen,Modellbildung und Simulation,Wissenschaftliches Arbeiten,Werkstofftechnik 1,NE-Gusswerkstoffe,NE-Gusswerkstoffe,
Betriebswirtschaft für Ingenieure,Betriebswirtschaft für Ingenieure,Programmierparadigmen,Computer Networks Lab,Werkstofftechnik 2,Theorie der Stahlerzeugung,Theorie der Stahlerzeugung,
Physics,Physics,Betriebswirtschaft für Ingenieure,,Strömungslehre 2,Eisen- und Stahlerzeugung 2,Eisen- und Stahlerzeugung 2,
Logical Design of Digital Systems,Logical Design of Digital Systems,Physics,,Wissenschaftliches Arbeiten,Wissenschaftliches Arbeiten,Wissenschaftliches Arbeiten,
Sprachtechnologie,Sprachtechnologie,Logical Design of Digital Systems,,Systemdynamik und Regelungstechnik Praktikum,,,
Internet-Suchmaschinen,Internet-Suchmaschinen,Sprachtechnologie,,,,,
Wissenschaftliches Arbeiten,Wissenschaftliches Arbeiten,Internet-Suchmaschinen,,,,,
,,Wissenschaftliches Arbeiten,,,,,
,,Computer Networks Lab,,,,,
